CDI Acumul,,,,,,,,Economatica
Em R$ Real,,,,,,,,
,,,,,,,,
Data,Q Negs,Q Tots,Volume,Fechamento,Abertura,Min,Max,Med
31/12/1999,-,-,-,526.44653,-,-,-,-
03/01/2000,-,-,-,526.80619,-,-,-,-
04/01/2000,-,-,-,527.16556,-,-,-,-
05/01/2000,-,-,-,527.52501,-,-,-,-
06/01/2000,-,-,-,527.88487,-,-,-,-
07/01/2000,-,-,-,528.24499,-,-,-,-
10/01/2000,-,-,-,528.60534,-,-,-,-
11/01/2000,-,-,-,528.9663086,-,-,-,-
12/01/2000,-,-,-,529.32697,-,-,-,-
13/01/2000,-,-,-,529.68789,-,-,-,-
14/01/2000,-,-,-,530.04941,-,-,-,-
17/01/2000,-,-,-,530.41082,-,-,-,-
18/01/2000,-,-,-,530.7722778,-,-,-,-
19/01/2000,-,-,-,531.13314,-,-,-,-
20/01/2000,-,-,-,531.49404,-,-,-,-
21/01/2000,-,-,-,531.85679,-,-,-,-
24/01/2000,-,-,-,532.21979,-,-,-,-
25/01/2000,-,-,-,532.58322,-,-,-,-
26/01/2000,-,-,-,532.9459839,-,-,-,-
27/01/2000,-,-,-,533.3084717,-,-,-,-
28/01/2000,-,-,-,533.67124,-,-,-,-
31/01/2000,-,-,-,534.03405,-,-,-,-
01/02/2000,-,-,-,534.39764,-,-,-,-
02/02/2000,-,-,-,534.7612915,-,-,-,-
03/02/2000,-,-,-,535.12521,-,-,-,-
04/02/2000,-,-,-,535.48972,-,-,-,-
07/02/2000,-,-,-,535.85394,-,-,-,-
08/02/2000,-,-,-,536.21895,-,-,-,-
09/02/2000,-,-,-,536.58368,-,-,-,-
10/02/2000,-,-,-,536.9490356,-,-,-,-
11/02/2000,-,-,-,537.3143921,-,-,-,-
14/02/2000,-,-,-,537.68005,-,-,-,-
15/02/2000,-,-,-,538.04612,-,-,-,-
16/02/2000,-,-,-,538.4127808,-,-,-,-
17/02/2000,-,-,-,538.7791748,-,-,-,-
18/02/2000,-,-,-,539.14656,-,-,-,-
21/02/2000,-,-,-,539.51489,-,-,-,-
22/02/2000,-,-,-,539.88312,-,-,-,-
23/02/2000,-,-,-,540.2515869,-,-,-,-
24/02/2000,-,-,-,540.62014,-,-,-,-
25/02/2000,-,-,-,540.98876,-,-,-,-
28/02/2000,-,-,-,541.35745,-,-,-,-
29/02/2000,-,-,-,541.72693,-,-,-,-
01/03/2000,-,-,-,542.09649,-,-,-,-
02/03/2000,-,-,-,542.46648,-,-,-,-
03/03/2000,-,-,-,542.83654,-,-,-,-
06/03/2000,-,-,-,-,-,-,-,-
07/03/2000,-,-,-,-,-,-,-,-
08/03/2000,-,-,-,543.20685,-,-,-,-
09/03/2000,-,-,-,543.57759,-,-,-,-
10/03/2000,-,-,-,543.94859,-,-,-,-
13/03/2000,-,-,-,544.31984,-,-,-,-
14/03/2000,-,-,-,544.69171,-,-,-,-
15/03/2000,-,-,-,545.06383,-,-,-,-
16/03/2000,-,-,-,545.43621,-,-,-,-
17/03/2000,-,-,-,545.80848,-,-,-,-
20/03/2000,-,-,-,546.1810303,-,-,-,-
21/03/2000,-,-,-,546.55396,-,-,-,-
22/03/2000,-,-,-,546.92388,-,-,-,-
23/03/2000,-,-,-,547.29625,-,-,-,-
24/03/2000,-,-,-,547.67033,-,-,-,-
27/03/2000,-,-,-,548.04449,-,-,-,-
28/03/2000,-,-,-,548.41854,-,-,-,-
29/03/2000,-,-,-,548.78641,-,-,-,-
30/03/2000,-,-,-,549.15398,-,-,-,-
31/03/2000,-,-,-,549.52161,-,-,-,-
03/04/2000,-,-,-,549.88912,-,-,-,-
04/04/2000,-,-,-,550.25706,-,-,-,-
05/04/2000,-,-,-,550.62598,-,-,-,-
06/04/2000,-,-,-,550.99534,-,-,-,-
07/04/2000,-,-,-,551.36476,-,-,-,-
10/04/2000,-,-,-,551.73424,-,-,-,-
11/04/2000,-,-,-,552.10415,-,-,-,-
12/04/2000,-,-,-,552.4744873,-,-,-,-
13/04/2000,-,-,-,552.84565,-,-,-,-
14/04/2000,-,-,-,553.21779,-,-,-,-
17/04/2000,-,-,-,553.59019,-,-,-,-
18/04/2000,-,-,-,553.96283,-,-,-,-
19/04/2000,-,-,-,554.3347778,-,-,-,-
20/04/2000,-,-,-,554.70775,-,-,-,-
21/04/2000,-,-,-,-,-,-,-,-
24/04/2000,-,-,-,555.08096,-,-,-,-
25/04/2000,-,-,-,555.45442,-,-,-,-
26/04/2000,-,-,-,555.82814,-,-,-,-
27/04/2000,-,-,-,556.2020874,-,-,-,-
28/04/2000,-,-,-,556.57631,-,-,-,-
01/05/2000,-,-,-,-,-,-,-,-
02/05/2000,-,-,-,556.95115,-,-,-,-
03/05/2000,-,-,-,557.32625,-,-,-,-
04/05/2000,-,-,-,557.70197,-,-,-,-
05/05/2000,-,-,-,558.07794,-,-,-,-
08/05/2000,-,-,-,558.4536133,-,-,-,-
09/05/2000,-,-,-,558.82877,-,-,-,-
10/05/2000,-,-,-,559.20419,-,-,-,-
11/05/2000,-,-,-,559.57986,-,-,-,-
12/05/2000,-,-,-,559.95541,-,-,-,-
15/05/2000,-,-,-,560.33121,-,-,-,-
16/05/2000,-,-,-,560.70727,-,-,-,-
17/05/2000,-,-,-,561.08338,-,-,-,-
18/05/2000,-,-,-,561.45976,-,-,-,-
19/05/2000,-,-,-,561.83638,-,-,-,-
22/05/2000,-,-,-,562.21325,-,-,-,-
23/05/2000,-,-,-,562.59038,-,-,-,-
24/05/2000,-,-,-,562.96795,-,-,-,-
25/05/2000,-,-,-,563.34578,-,-,-,-
26/05/2000,-,-,-,563.72404,-,-,-,-
29/05/2000,-,-,-,564.10237,-,-,-,-
30/05/2000,-,-,-,564.48058,-,-,-,-
31/05/2000,-,-,-,564.85885,-,-,-,-
01/06/2000,-,-,-,565.23718,-,-,-,-
02/06/2000,-,-,-,565.61558,-,-,-,-
05/06/2000,-,-,-,565.99385,-,-,-,-
06/06/2000,-,-,-,566.37181,-,-,-,-
07/06/2000,-,-,-,566.74926,-,-,-,-
08/06/2000,-,-,-,567.12658,-,-,-,-
09/06/2000,-,-,-,567.50414,-,-,-,-
12/06/2000,-,-,-,567.88178,-,-,-,-
13/06/2000,-,-,-,568.25947,-,-,-,-
14/06/2000,-,-,-,568.63722,-,-,-,-
15/06/2000,-,-,-,569.01541,-,-,-,-
16/06/2000,-,-,-,569.39405,-,-,-,-
19/06/2000,-,-,-,569.77274,-,-,-,-
20/06/2000,-,-,-,570.14997,-,-,-,-
21/06/2000,-,-,-,570.51361,-,-,-,-
22/06/2000,-,-,-,-,-,-,-,-
23/06/2000,-,-,-,570.8768921,-,-,-,-
26/06/2000,-,-,-,571.23945,-,-,-,-
27/06/2000,-,-,-,571.60166,-,-,-,-
28/06/2000,-,-,-,571.96158,-,-,-,-
29/06/2000,-,-,-,572.3225098,-,-,-,-
30/06/2000,-,-,-,572.68326,-,-,-,-
03/07/2000,-,-,-,573.04347,-,-,-,-
04/07/2000,-,-,-,573.4041138,-,-,-,-
05/07/2000,-,-,-,573.76535,-,-,-,-
06/07/2000,-,-,-,574.12722,-,-,-,-
07/07/2000,-,-,-,574.48873,-,-,-,-
10/07/2000,-,-,-,574.84559,-,-,-,-
11/07/2000,-,-,-,575.2019043,-,-,-,-
12/07/2000,-,-,-,575.55823,-,-,-,-
13/07/2000,-,-,-,575.91459,-,-,-,-
14/07/2000,-,-,-,576.27136,-,-,-,-
17/07/2000,-,-,-,576.62835,-,-,-,-
18/07/2000,-,-,-,576.98537,-,-,-,-
19/07/2000,-,-,-,577.34163,-,-,-,-
20/07/2000,-,-,-,577.69143,-,-,-,-
21/07/2000,-,-,-,578.04105,-,-,-,-
24/07/2000,-,-,-,578.39049,-,-,-,-
25/07/2000,-,-,-,578.73974,-,-,-,-
26/07/2000,-,-,-,579.0889893,-,-,-,-
27/07/2000,-,-,-,579.43828,-,-,-,-
28/07/2000,-,-,-,579.78757,-,-,-,-
31/07/2000,-,-,-,580.13668,-,-,-,-
01/08/2000,-,-,-,580.4857788,-,-,-,-
02/08/2000,-,-,-,580.83512,-,-,-,-
03/08/2000,-,-,-,581.18466,-,-,-,-
04/08/2000,-,-,-,581.53441,-,-,-,-
07/08/2000,-,-,-,581.88457,-,-,-,-
08/08/2000,-,-,-,582.23514,-,-,-,-
09/08/2000,-,-,-,582.58572,-,-,-,-
10/08/2000,-,-,-,582.93691,-,-,-,-
11/08/2000,-,-,-,583.2888794,-,-,-,-
14/08/2000,-,-,-,583.64151,-,-,-,-
15/08/2000,-,-,-,583.99353,-,-,-,-
16/08/2000,-,-,-,584.34537,-,-,-,-
17/08/2000,-,-,-,584.69782,-,-,-,-
18/08/2000,-,-,-,585.05068,-,-,-,-
21/08/2000,-,-,-,585.40495,-,-,-,-
22/08/2000,-,-,-,585.75804,-,-,-,-
23/08/2000,-,-,-,586.10614,-,-,-,-
24/08/2000,-,-,-,586.45905,-,-,-,-
25/08/2000,-,-,-,586.81277,-,-,-,-
28/08/2000,-,-,-,587.16691,-,-,-,-
29/08/2000,-,-,-,587.52146,-,-,-,-
30/08/2000,-,-,-,587.87582,-,-,-,-
31/08/2000,-,-,-,588.2296143,-,-,-,-
01/09/2000,-,-,-,588.58339,-,-,-,-
04/09/2000,-,-,-,588.93799,-,-,-,-
05/09/2000,-,-,-,589.29301,-,-,-,-
06/09/2000,-,-,-,589.64904,-,-,-,-
07/09/2000,-,-,-,-,-,-,-,-
08/09/2000,-,-,-,590.0054932,-,-,-,-
11/09/2000,-,-,-,590.36297,-,-,-,-
12/09/2000,-,-,-,590.72066,-,-,-,-
13/09/2000,-,-,-,591.07876,-,-,-,-
