Ibovespa,,,,,,,,Economatica
Em R$ Real,,,,,,,,
,,,,,,,,
Data,Q Negs,Q Tots,Volume,Fechamento,Abertura,Min,Max,Med
03/01/2000,14393,25716362000,619781818,16930,17098,16719,17408,17041
04/01/2000,17082,34897651437,749029333.5,15851,16907,15851,16907,16217
05/01/2000,18798,45526845902,1031216405,16245,15871,15349,16302,15854
06/01/2000,16445,55499777120,902185575.7,16106,16237,15977,16498,16246
07/01/2000,13310,48824232889,651508029.6,16309,16124,16124,16448,16341
10/01/2000,16115,48053759180,812610015.9,17022,16324,16324,17056,16937
11/01/2000,15885,45653697790,806402041.9,16572,17045,16572,17196,16861
12/01/2000,15504,51174073773,818375844.8,16616,16573,16330,16723,16539
13/01/2000,18685,66415145607,1643973934,17298,16663,16663,17715,17437
14/01/2000,17790,59861206395,1165246209,17657,17305,17305,17800,17594
17/01/2000,12987,30233571920,602063640,18053,17678,17678,18099,17879
18/01/2000,16414,39054363028,904524925.1,17903,18061,17624,18061,17769
19/01/2000,16755,1.24E+11,892745132.4,17470,17905,17470,18074,17758
20/01/2000,14120,63096315647,753337659.1,17176,17487,17028,17622,17337
21/01/2000,14371,49152816554,665767908.8,17034,17187,16901,17372,17048
24/01/2000,11134,43104993126,418686665.5,16971,17048,16971,17262,17158
25/01/2000,-,-,-,-,-,-,-,-
26/01/2000,14557,52166945719,639857692.6,17105,16971,16726,17105,16952
27/01/2000,15784,74079846746,771061209.6,17081,17114,17081,17422,17283
28/01/2000,15854,72364202577,830321280.8,16734,17149,16546,17252,16868
31/01/2000,14103,40207037743,734093395.8,16388,16743,16167,16748,16430
01/02/2000,13492,37638729177,687623909,16522,16389,16389,16675,16516
02/02/2000,15944,34775507811,768019706.9,16868,16545,16545,16874,16748
03/02/2000,17557,42241173112,1025172347,17457,16891,16891,17457,17246
04/02/2000,18279,1.20E+11,941957453.7,17932,17470,17470,17961,17775
07/02/2000,14855,98428729180,826499014.8,18125,17937,17746,18125,17895
08/02/2000,20235,65309605833,1151376590,18685,18248,18248,18729,18607
09/02/2000,18478,84940185155,1016683557,18361,18758,18223,18885,18475
10/02/2000,19750,70672639356,929173816,18603,18366,18154,18671,18486
11/02/2000,18347,88641802135,873330711.7,18083,18635,18026,18774,18496
14/02/2000,15835,49186532709,661863061,17819,18083,17745,18264,17981
15/02/2000,17927,61608463785,883813134.8,17920,17818,17450,17931,17636
16/02/2000,18544,33837642656,1012756801,18112,17920,17742,18247,17978
17/02/2000,14185,27955192583,710828920.4,17979,18115,17979,18297,18119
18/02/2000,13600,37984771539,787959316.8,17625,17979,17489,18008,17745
21/02/2000,13823,24833261546,973166320.5,17699,17625,17364,17886,17589
22/02/2000,14301,32566380417,744374469,17489,17698,17465,17913,17683
23/02/2000,13264,23824686580,704575783,17833,17489,17479,17855,17642
24/02/2000,13875,29193995486,755688307.1,17775,17845,17706,18118,17896
25/02/2000,10450,27418687791,584088844.8,17786,17784,17757,17987,17884
28/02/2000,10280,17948409215,487608858,17542,17786,17382,17786,17547
29/02/2000,12312,29940751490,645961809.9,17660,17544,17544,17822,17685
01/03/2000,14890,35546147711,848451102.6,17953,17668,17654,17953,17854
02/03/2000,13094,40212810008,853445799.3,18015,17965,17809,18154,17923
03/03/2000,12098,42760077597,668766615.8,18631,18015,18015,18631,18381
06/03/2000,-,-,-,-,-,-,-,-
07/03/2000,-,-,-,-,-,-,-,-
08/03/2000,5609,10591422983,277285297.3,18282,18617,18183,18617,18271
09/03/2000,10413,23257180759,496243334.1,18650,18285,18285,18650,18516
10/03/2000,10253,20590681360,485489057.1,18280,18650,18232,18720,18536
13/03/2000,10882,24471035239,577209313.5,17594,18279,17505,18279,17696
14/03/2000,12219,26469652070,652641543,17221,17594,17221,17936,17494
15/03/2000,12710,29686313544,723675254.1,17381,17228,16922,17468,17167
16/03/2000,12003,29246030794,734178853.7,17642,17396,17396,17660,17523
17/03/2000,10315,27252423415,632568363.4,17511,17654,17470,17733,17617
20/03/2000,9820,30643126908,478278999.3,17525,17511,17433,17732,17620
21/03/2000,12605,53643638383,687417645.9,18342,17528,17510,18343,17842
22/03/2000,15130,33824371143,782300776.4,18314,18346,18314,18620,18450
23/03/2000,14139,68915356815,771717173.6,18331,18314,18183,18643,18461
24/03/2000,12761,37047212206,659279640.2,18674,18332,18332,18691,18550
27/03/2000,11932,25139546837,547855641.6,18951,18674,18674,19046,18875
28/03/2000,12670,32687175453,719204335.5,18337,18952,18335,18959,18624
29/03/2000,11633,20293057720,589833468.1,18053,18338,17972,18574,18178
30/03/2000,11226,19447494167,647767903.9,17646,18053,17455,18053,17764
31/03/2000,9957,16550225393,642343567.6,17820,17659,17559,17949,17768
03/04/2000,11915,15073735920,556680384.2,17245,17825,17173,17825,17329
04/04/2000,17555,29381719499,909479489.2,16757,17253,16095,17450,16889
05/04/2000,17347,33329146183,909394522.8,16714,16762,16229,17042,16674
06/04/2000,14895,25531789706,774418286.7,17146,16718,16718,17152,16986
07/04/2000,11514,21721422250,580611711.1,17513,17149,17149,17513,17352
10/04/2000,9566,21504800826,485394485.3,16783,17519,16781,17571,17206
11/04/2000,13240,23043913416,649572097.1,16539,16786,16309,16867,16600
12/04/2000,13867,23525697078,812460607.5,16323,16542,16310,16785,16569
13/04/2000,12394,24527952141,661141524.1,15500,16325,15500,16605,16164
14/04/2000,19391,51077473629,887217689.6,14794,15500,14596,15500,15039
17/04/2000,17657,46095292908,859598047.9,14815,14761,14029,14820,14536
18/04/2000,17798,36557558845,927423747.4,15408,14817,14767,15468,15046
19/04/2000,13304,29864210522,657822344.8,14926,15437,14849,15535,15171
20/04/2000,8587,15726788882,383712392,15203,14938,14938,15203,15080
21/04/2000,-,-,-,-,-,-,-,-
24/04/2000,9906,17434049268,486220760,14794,15204,14624,15225,14872
25/04/2000,12919,26303894055,601773683,15400,14798,14798,15402,15243
26/04/2000,15754,43484332125,859901907.8,15446,15401,15267,15517,15397
27/04/2000,18740,44661073142,1028913781,15440,15446,14835,15487,15192
28/04/2000,23205,95802779222,1290258955,15537,15450,15450,15906,15772
01/05/2000,-,-,-,-,-,-,-,-
02/05/2000,17321,32923863418,739357673,15524,15596,15523,15944,15794
03/05/2000,12691,24965379246,598793025.8,15108,15523,14980,15523,15234
04/05/2000,13193,25715526075,564581414.4,14969,15111,14872,15143,15024
05/05/2000,13124,25318216080,467282522.1,15217,14966,14811,15217,15085
08/05/2000,9493,17058243619,367885888.3,14890,15219,14867,15223,15006
09/05/2000,14429,24134595160,534975192.8,14581,14897,14411,15041,14651
10/05/2000,14283,46247775584,687804603.4,14433,14569,14239,14586,14384
11/05/2000,14484,40847271342,678777775.2,14498,14447,14397,14723,14625
12/05/2000,13479,28682037809,643840684.3,14458,14495,14350,14638,14522
15/05/2000,10409,20465102268,469369423.3,15055,14469,14397,15069,14594
16/05/2000,16601,33349203072,574179637.3,15360,15074,15074,15445,15316
17/05/2000,9727,18430809819,304422343.4,14870,15360,14855,15360,14987
18/05/2000,10039,19132821163,379209603.6,14626,14875,14619,14973,14754
19/05/2000,11758,21952449618,416763932.6,14326,14594,13922,14618,14198
22/05/2000,13687,24122729740,481605849.1,13891,14329,13583,14368,13845
23/05/2000,13581,31816351409,596345816.5,13587,13891,13582,14145,13902
24/05/2000,15938,41587355029,743843763.3,14166,13591,13555,14197,13775
25/05/2000,15223,41781415551,919404984.7,14185,14187,14026,14499,14276
26/05/2000,14984,54960633199,687741848.5,14542,14204,14172,14548,14389
29/05/2000,10280,39471654512,302403544.7,14772,14540,14540,14857,14771
30/05/2000,17040,48589288083,872506725.1,15248,14815,14815,15307,15048
31/05/2000,17447,80884609365,798556375.3,14956,15251,14930,15328,15161
01/06/2000,17244,56030386266,805833585.8,15450,14967,14967,15472,15344
02/06/2000,22150,68684099964,1198271895,16222,15518,15518,16260,16117
05/06/2000,13838,28907352635,520967863.7,16022,16222,15974,16312,16150
06/06/2000,15335,30534514763,664476007.3,15946,16017,15826,16172,16032
07/06/2000,14516,35642015854,686614439.8,16271,15954,15709,16277,15971
08/06/2000,15892,29605170941,651001105.4,16398,16285,16226,16640,16417
09/06/2000,13638,25425866095,637995251.4,16342,16420,16200,16560,16346
12/06/2000,10344,16121939255,321940211.4,16096,16351,16084,16364,16213
13/06/2000,14564,33321781112,714203394.9,16354,16099,16074,16359,16231
14/06/2000,21481,44211003896,969582666.1,16366,16365,16135,16523,16374
15/06/2000,14875,36097252371,633019472.8,16561,16369,16321,16629,16483
16/06/2000,15906,39545822545,803894815.7,16424,16566,16378,16598,16508
19/06/2000,17013,39661859688,939269110.9,16850,16423,16411,16862,16588
20/06/2000,15847,31957160953,768458084.5,16843,16854,16710,16949,16809
21/06/2000,22831,58169610665,1269472256,17254,16853,16853,17371,17211
22/06/2000,-,-,-,-,-,-,-,-
23/06/2000,15188,38300309779,938213979.1,16977,17205,16909,17265,17063
26/06/2000,14908,31456994375,659277020.6,16744,16977,16685,17019,16818
27/06/2000,15625,35808276266,583117647.2,16512,16743,16388,16780,16603
28/06/2000,14395,40040210394,563156202.5,16842,16532,16493,17101,16862
29/06/2000,11395,21973460393,401719619.1,16407,16830,16373,16849,16506
30/06/2000,13166,24305320504,498240159,16727,16404,16399,16836,16651
03/07/2000,14787,24916348303,457494852.8,17088,16746,16743,17098,16957
04/07/2000,14685,20673322361,429708184.9,17279,17105,17088,17340,17270
05/07/2000,18139,33403174206,742371605.9,17134,17284,17086,17361,17257
06/07/2000,17702,31284255031,614804512.2,17348,17147,17024,17366,17222
07/07/2000,20187,38074012035,773170958.8,17598,17351,17351,17754,17622
10/07/2000,14426,29368284652,497524307.6,17471,17619,17443,17794,17577
11/07/2000,16272,28958686543,546918637.1,16880,17473,16831,17473,17099
12/07/2000,15061,26560476477,630267596.5,17053,16892,16692,17174,16940
13/07/2000,13870,24433722068,506406431.1,16444,17057,16415,17353,16782
14/07/2000,11376,23461599328,462701037.9,16880,16438,16421,16884,16663
17/07/2000,13810,23928505441,680074375,17387,16890,16890,17394,17257
18/07/2000,13740,23176841645,554249425.4,17368,17379,17280,17565,17420
19/07/2000,11837,24556390871,486830816,16927,17354,16868,17357,17028
